iter	Passed	Remaining
852	13665	2355
853	13680	2338
854	13694	2322
855	13709	2306
856	13723	2289
857	13736	2273
858	13749	2256
859	13762	2240
860	13774	2223
861	13788	2207
862	13801	2191
863	13815	2174
864	13829	2158
865	13842	2141
866	13856	2125
867	13870	2109
868	13886	2093
869	13901	2077
870	13917	2061
871	13930	2044
872	13944	2028
873	13959	2012
874	13974	1996
875	13989	1980
876	14002	1963
877	14016	1947
878	14031	1931
879	14046	1915
880	14060	1899
881	14076	1883
882	14090	1867
883	14107	1851
884	14122	1835
885	14137	1819
886	14152	1803
887	14167	1786
888	14183	1770
889	14197	1754
890	14211	1738
891	14225	1722
892	14239	1706
893	14253	1690
894	14268	1674
895	14284	1658
896	14300	1642
897	14315	1626
898	14330	1609
899	14345	1593
900	14362	1578
901	14377	1562
902	14392	1546
903	14407	1529
904	14422	1513
905	14438	1497
906	14454	1482
907	14469	1466
908	14485	1450
909	14498	1433
910	14513	1417
911	14526	1401
912	14540	1385
913	14557	1369
914	14572	1353
915	14589	1337
916	14604	1321
917	14619	1305
918	14635	1289
919	14651	1274
920	14665	1257
921	14682	1242
922	14697	1226
923	14714	1210
924	14730	1194
925	14748	1178
926	14764	1162
927	14780	1146
928	14796	1130
929	14812	1114
930	14828	1099
931	14845	1083
932	14860	1067
933	14875	1051
934	14891	1035
935	14906	1019
936	14921	1003
937	14935	987
938	14951	971
939	14966	955
940	14982	939
941	14997	923
942	15011	907
943	15025	891
944	15039	875
945	15054	859
946	15069	843
947	15083	827
948	15098	811
949	15113	795
950	15127	779
951	15142	763
952	15157	747
953	15170	731
954	15184	715
955	15201	699
956	15216	683
957	15232	667
958	15247	651
959	15263	635
960	15275	619
961	15290	603
962	15303	587
963	15319	572
964	15333	556
965	15347	540
966	15361	524
967	15375	508
968	15389	492
969	15404	476
970	15418	460
971	15433	444
972	15446	428
973	15461	412
974	15474	396
975	15488	380
976	15503	364
977	15516	349
978	15531	333
979	15546	317
980	15560	301
981	15574	285
982	15586	269
983	15600	253
984	15614	237
985	15628	221
986	15641	206
987	15655	190
988	15668	174
989	15684	158
990	15698	142
991	15713	126
992	15727	110
993	15742	95
994	15758	79
995	15771	63
996	15786	47
997	15801	31
998	15814	15
999	15828	0
